PEKING UNIVERSITY	北京大学
UNIVERSITY OF AGRICULTURE, FAISALABAD	费萨拉巴德农业大学
SHAANXI NORMAL UNIVERSITY	陕西师范大学
CHANGCHUN UNIVERSITY OF SCIENCE AND TECHNOLOGY	长春理工大学
CHIA NAN UNIVERSITY OF PHARMACY AND SCIENCE	嘉南药学与科学大学
UNIVERSITY OF WESTMINSTER	西敏大学
NITTO DENKO	日东电工
PLYMOUTH UNIVERSITY	普利茅斯大学
PEKING UNION MEDICAL COLLEGE	北京协和医学院
UNIVERSITY OF BRISTOL	布里斯托尔大学
MONASH UNIVERSITY	莫纳什大学
OAK RIDGE NATIONAL LABORATORY	橡树岭国家实验室
UNIVERSITY OF RENNES	雷恩大学
UMICORE	优美科
SINOPEC	中石化
CIVIL AVIATION AUTHORITY OF SINGAPORE	新加坡民航局
WAKE FOREST UNIVERSITY	维克森林大学
DREXEL UNIVERSITY	德雷克塞尔大学
COLLEGE OF BUSINESS ADMINISTRATION	工商管理学院
UNIVERSITY OF OSLO	奥斯陆大学
NATIONAL UNIVERSITY OF DEFENSE TECHNOLOGY	国防科学技术大学
CAPITAL MEDICAL UNIVERSITY	首都医科大学
IMPERIAL COLLEGE LONDON	伦敦帝国学院
YANGTZE UNIVERSITY	长江大学
TIANJIN MEDICAL UNIVERSITY GENERAL HOSPITAL	天津医科大学总医院
LSU HEALTH SCIENCES CENTER NEW ORLEANS	新奥尔良 LSU 健康科学中心
UNIVERSITY OF FLORIDA	佛罗里达大学
TAIYUAN UNIVERSITY OF TECHNOLOGY	太原理工大学
HOKKAIDO UNIVERSITY	北海道大学
QINGDAO UNIVERSITY OF SCIENCE AND TECHNOLOGY	青岛科技大学
AT&T	AT&T
XUZHOU MEDICAL COLLEGE	徐州医学院
DALIAN NAVAL ACADEMY	大连海军学院
UNIVERSITY OF MANCHESTER	曼彻斯特大学
SHANDONG AGRICULTURAL UNIVERSITY	山东农业大学
COLLEGE OF HORTICULTURE	园艺学院
HUNAN UNIVERSITY OF SCIENCE AND TECHNOLOGY	湖南科技大学
HENAN AGRICULTURAL UNIVERSITY	河南农业大学
EHIME UNIVERSITY	爱媛大学
CENTRAL SOUTH UNIVERSITY FORESTRY AND TECHNOLOGY	中南林业科技大学
GUANGXI UNIVERSITY	广西大学
HAINAN UNIVERSITY	海南大学
CHONGQING UNIVERSITY OF POSTS AND TELECOMMUNICATIONS	重庆邮电大学
KUNMING UNIVERSITY OF SCIENCE AND TECHNOLOGY	昆明理工大学
EAST CHINA JIAOTONG UNIVERSITY	华东交通大学
UNIVERSITY OF SOUTHAMPTON	南安普敦大学
UNIVERSAL DISPLAY CORPORATION	通用显示公司
UNIVERSITY OF ZURICH	苏黎世大学
GERON CORPORATION	杰龙生物医药公司
HUBEI UNIVERSITY	湖北大学
UNIVERSITY OF ESSEX	埃塞克斯大学
UNIVERSITY OF PARIS	巴黎大学
DALHOUSIE UNIVERSITY	豪斯大学
YUAN ZE UNIVERSITY	元泽大学
WASHINGTON STATE UNIVERSITY	华盛顿州立大学
NORTH DAKOTA STATE UNIVERSITY	北达科他州立大学
NANJING NORMAL UNIVERSITY	南京师范大学
LAKEHEAD UNIVERSITY	湖首大学
HONDA	本田
NORTHERN ILLINOIS UNIVERSITY	北伊利诺伊大学
CERN	欧洲核子研究组织
UCL INSTITUTE OF CHILD HEALTH	伦敦大学儿童健康学院
UNIVERSITY OF COLORADO BOULDER	科罗拉多大学博尔德分校
UNIVERSITY OF WATERLOO	滑铁卢大学
CRANFIELD UNIVERSITY	克兰菲尔德大学
CLEVELAND CLINIC	克利夫兰诊所
UNIVERSITY OF MARYLAND, BALTIMORE	马里兰大学巴尔的摩分校
MINZU UNIVERSITY OF CHINA	中国民族大学
DUPONT	杜邦
FORDHAM UNIVERSITY	福特汉姆大学
SHANGHAI MARITIME UNIVERSITY	上海海事大学
BETH ISRAEL DEACONESS MEDICAL CENTER	贝丝以色列女执事医疗中心
ST. JUDE CHILDREN'S RESEARCH HOSPITAL	圣裘德儿童研究医院
INTERNATIONAL FOOD POLICY RESEARCH INSTITUTE	国际食品政策研究所
QUEEN MARY UNIVERSITY OF LONDON	伦敦玛丽大学皇后分校
UNIVERSITY AT ALBANY, SUNY	纽约州立大学奥尔巴尼分校
NATIONAL TSING HUA UNIVERSITY	国立清华大学
YOKOHAMA NATIONAL UNIVERSITY	横滨国立大学
VICTORIA UNIVERSITY, AUSTRALIA	维多利亚大学, 澳大利亚
UNIVERSITY OF OREGON	俄勒冈大学
UNIVERSITY OF STRATHCLYDE	斯特拉斯克莱德大学
WUHAN UNIVERSITY OF SCIENCE AND TECHNOLOGY	武汉科技大学
MACAU UNIVERSITY OF SCIENCE AND TECHNOLOGY	澳门科技大学
HONG KONG BAPTIST UNIVERSITY	香港浸会大学
CHINA CENTER FOR ECONOMIC RESEARCH	中国经济研究中心
SHAANXI UNIVERSITY OF SCIENCE AND TECHNOLOGY	陕西科技大学
HENAN UNIVERSITY	河南大学
INSTITUT NATIONAL AGRONOMIQUE PARIS GRIGNON	巴黎格纳国家农艺研究所学院
NEUROCRINE BIOSCIENCES	神经生物科学
CELL SIGNALING TECHNOLOGY	细胞信号技术
UNIVERSITY OF WESTERN ONTARIO	西安大略大学
NAGASAKI UNIVERSITY	长崎大学
ZHENGZHOU UNIVERSITY OF LIGHT INDUSTRY	郑州轻工业大学
NOVOZYMES	诺维信
UNIVERSITY OF ALABAMA AT BIRMINGHAM	阿拉巴马大学伯明翰分校
UOP LLC	UOP 有限责任公司
KING ABDULAZIZ UNIVERSITY	阿卜杜拉国王大学
CENTRAL QUEENSLAND UNIVERSITY	中央昆士兰大学
SHANXI TEACHERS UNIVERSITY	山西师范大学
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON	德克萨斯大学休斯敦健康科学中心
ROCKEFELLER UNIVERSITY	洛克菲勒大学
UNIVERSITY OF TEXAS AT DALLAS	德克萨斯大学达拉斯分校
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY	国家标准与技术研究所
DRESDEN UNIVERSITY OF TECHNOLOGY	德累斯顿理工大学
NORFOLK STATE UNIVERSITY	诺福克州立大学
MCKNIGHT BRAIN INSTITUTE	麦克奈特脑研究所
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO	德克萨斯大学圣安东尼奥健康科学中心
UNITED STATES DEPARTMENT OF AGRICULTURE	美国农业部
CANON INC.	佳能公司
FAYETTEVILLE STATE UNIVERSITY	费耶特维尔州立大学
ERICSSON	爱立信
SOUTH DAKOTA STATE UNIVERSITY	南达科他州立大学
UNIVERSITY OF PARIS-SUD	巴黎第十一大学
MOREHOUSE SCHOOL OF MEDICINE	莫浩斯医学院
INTERNATIONAL MAIZE AND WHEAT IMPROVEMENT CENTER	国际玉米与小麦改良中心
NANTONG UNIVERSITY	南通大学
FLORIDA INTERNATIONAL UNIVERSITY	佛罗里达国际大学
CENTER FOR DRUG EVALUATION AND RESEARCH	药物评价与研究中心
CYPRESS SEMICONDUCTOR	柏树半导体
CHINA CENTER OF ADVANCED SCIENCE AND TECHNOLOGY	中国先进科技中心
HENNEPIN COUNTY MEDICAL CENTER	亨内平县医疗中心
CATERPILLAR INC.	卡特彼勒公司
ST LUKES EPISCOPAL HOSPITAL	圣 LUKES 主教医院
UNIVERSITY OF TOLEDO	托莱多大学
ANHUI NORMAL UNIVERSITY	安徽师范大学
HEBEI MEDICAL UNIVERSITY	河北医科大学
UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER	田纳西大学健康科学中心
SEOUL NATIONAL UNIVERSITY	首尔国立大学
GENENTECH	GENENTECH
LG ELECTRONICS	LG电子
PARKE-DAVIS	帕克-戴维斯
INNER MONGOLIA UNIVERSITY OF TECHNOLOGY	内蒙古理工大学
UNIVERSITY OF CANTERBURY	坎特伯雷大学
UNIVERSITY OF MISSOURI	密苏里大学
KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY	阿卜杜拉国王科技大学
UNIVERSITY OF TENNESSEE	田纳西大学
MEIJO UNIVERSITY	名城大学
HOSPITAL FOR SICK CHILDREN	生病儿童医院
MOUNT SINAI HOSPITAL, TORONTO	多伦多西奈山医院
DARTMOUTH COLLEGE	达特茅斯学院
TENCENT	腾讯
HUANGGANG NORMAL UNIVERSITY	黄冈师范大学
CHINA MOBILE	中国移动
UTAH STATE UNIVERSITY	犹他州立大学
GENERAL ELECTRIC	通用电气
ROYAL MILITARY COLLEGE OF CANADA	加拿大皇家军事学院
WEST VIRGINIA UNIVERSITY	西弗吉尼亚大学
ABB LTD	ABB有限公司
UNIVERSITY OF MASSACHUSETTS DARTMOUTH	马萨诸塞州达特茅斯大学
CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	食品安全与应用营养中心
UNIVERSITY OF VICTORIA	维多利亚大学
BOEHRINGER INGELHEIM	勃林格殷格翰
CHILDREN'S HOSPITAL OF WISCONSIN	威斯康星州儿童医院
EXXONMOBIL	埃克森 美孚
STOWERS INSTITUTE FOR MEDICAL RESEARCH	STOWERS 医学研究所
SPANISH NATIONAL RESEARCH COUNCIL	西班牙国家研究委员会
MEMORIAL UNIVERSITY OF NEWFOUNDLAND	纽芬兰纪念大学
SHANDONG NORMAL UNIVERSITY	山东师范大学
CARNEGIE LEARNING	卡内基学习
CHEUNG KONG GRADUATE SCHOOL OF BUSINESS	长江商学院
TEXAS CHRISTIAN UNIVERSITY	德克萨斯基督教大学
WOMEN'S AND CHILDREN'S HOSPITAL	妇女儿童医院
SHENZHEN UNIVERSITY	深圳大学
CHENGDU UNIVERSITY OF TECHNOLOGY	成都理工大学
UNIVERSITY OF COPENHAGEN	哥本哈根大学
LAFARGE	拉法基
UNIVERSITY OF KASSEL	卡塞尔大学
MISSISSIPPI STATE UNIVERSITY	密西西比州立大学
UNIVERSITY OF MARYLAND, BALTIMORE COUNTY	马里兰大学巴尔的摩分校
HYDROLOGIC RESEARCH CENTER	水文研究中心
MEMORIAL SLOAN KETTERING CANCER CENTER	纪念斯隆凯特林癌症中心
BEIJING GENOMICS INSTITUTE	北京基因组研究所
HUAQIAO UNIVERSITY	华侨大学
SINOVAC BIOTECH	北京科兴生物科技
KING'S COLLEGE LONDON	伦敦国王学院
VIRGINIA MASON MEDICAL CENTER	弗吉尼亚梅森医疗中心
INDIANA UNIVERSITY	印第安纳大学
XINJIANG UNIVERSITY	新疆大学
WAYNE STATE UNIVERSITY	韦恩州立大学
RENSSELAER POLYTECHNIC INSTITUTE	伦斯勒理工学院
UNIVERSITY OF JINAN	济南大学
HOSPITAL FOR SPECIAL SURGERY	特殊外科医院
CHANG GUNG UNIVERSITY	长庚大学
UNIVERSITY OF MACAU	澳门大学
TIANJIN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE	天津中医药大学
BEIJING UNIVERSITY OF CIVIL ENGINEERING AND ARCHITECTURE	北京建筑工程学院
NAGAOKA UNIVERSITY OF TECHNOLOGY	长冈技术科学大学
GLAXOSMITHKLINE	GLAXOSMITHKLINE
AGILENT TECHNOLOGIES	安捷伦技术
BRIGHAM AND WOMEN'S HOSPITAL	布列根和妇女医院
LIAONING UNIVERSITY OF TECHNOLOGY	辽宁工业大学
KAROLINSKA INSTITUTET	卡洛琳斯卡卡若琳
DOW AGROSCIENCES	陶氏农业科学
THE GEORGE INSTITUTE FOR GLOBAL HEALTH	乔治全球健康研究所
UNIVERSITY OF OXFORD	牛津大学
VANDERBILT UNIVERSITY MEDICAL CENTER	范德比尔特大学医疗中心
HENRY FORD HEALTH SYSTEM	亨利. 福特医疗系统
COLLEGE OF CHARLESTON	查尔斯顿学院
BC CANCER AGENCY	BC癌症局
JOHNS MANVILLE	约翰曼维尔
UNIVERSITY OF COLOGNE	科隆大学
TECHNICAL UNIVERSITY OF DENMARK	丹麦技术大学
ROY J. AND LUCILLE A. CARVER COLLEGE OF MEDICINE	罗伊 J. 和露西尔医学学院
PETROCHINA	中石油
UNIVERSITY OF MANITOBA	马尼托巴省大学
UNIVERSITY OF WUPPERTAL	伍伯托大学
NORTHEAST PETROLEUM UNIVERSITY	东北石油大学
UNIVERSITY OF NEW ORLEANS	新奥尔良大学
UNIVERSITY OF HARTFORD	哈特福德大学
TIANJIN MEDICAL UNIVERSITY	天津医科大学
UNIVERSITY OF TOLEDO MEDICAL CENTER	托莱多大学医疗中心
UNIVERSITY OF MEMPHIS	孟菲斯大学
BAE SYSTEMS	BAE公司
ALCORN STATE UNIVERSITY	奥尔康州立大学
CLEMSON UNIVERSITY	克莱姆森大学
UNIVERSITY OF LOUISVILLE	路易斯维尔大学
ULTRA	超
ROYAL INSTITUTE OF TECHNOLOGY	皇家理工学院
INFORMATION TECHNOLOGY INSTITUTE	信息技术研究所
BEIJING INSTITUTE OF FOREIGN TRADE	北京对外贸易学院
CLEVELAND STATE UNIVERSITY	克利夫兰州立大学
HENAN NORMAL UNIVERSITY	河南师范大学
CHONBUK NATIONAL UNIVERSITY	全北国立大学
KEIO UNIVERSITY	庆应义塾大学
TOKYO INSTITUTE OF TECHNOLOGY	东京理工学院
KAOHSIUNG MEDICAL UNIVERSITY	高雄医科大学
MEDICAL COLLEGE OF WISCONSIN	威斯康星医科大学
KEAN UNIVERSITY	肯恩大学
DELTA AIR LINES	达美航空公司
NAGOYA INSTITUTE OF TECHNOLOGY	名古屋理工学院
OKLAHOMA STATE UNIVERSITY–STILLWATER	俄克拉荷马州立大学
CITY COLLEGE OF NEW YORK	纽约城市学院
UNION COLLEGE	联合学院
YANTAI UNIVERSITY	烟台大学
NATIONAL RENEWABLE ENERGY LABORATORY	国家可再生能源实验室
ROYAL WOMEN'S HOSPITAL	皇家女子医院
CHANGSHA UNIVERSITY OF SCIENCE AND TECHNOLOGY	长沙理工大学
YESHIVA UNIVERSITY	耶什华大学
BOSTON COLLEGE	波士顿学院
ORACLE CORPORATION	甲骨文公司
CAPITAL NORMAL UNIVERSITY	首都师范大学
NORTH UNIVERSITY OF CHINA	中北大学
HEILONGJIANG UNIVERSITY	黑龙江大学
FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	福建农林大学
AGRICULTURE AND AGRI-FOOD CANADA	加拿大农业和农食品
HANGZHOU DIANZI UNIVERSITY	杭州电子科技大学
JOINT GENOME INSTITUTE	联合基因组研究所
UNIVERSITY OF NEWCASTLE	纽卡斯尔大学
CENTER FOR ADVANCED BIOTECHNOLOGY AND MEDICINE	先进生物技术与医学中心
UNIVERSITY OF YORK	约克大学
INNER MONGOLIA UNIVERSITY FOR NATIONALITIES	内蒙古民族大学
GUANGZHOU INSTITUTES OF BIOMEDICINE AND HEALTH	广州生物医学与健康研究所
ADVANCED MICRO DEVICES	先进的微型设备
BIOGEN IDEC	鲍勃哈姆 IDEC
TAIPEI VETERANS GENERAL HOSPITAL	台北退伍军人总医院
UNIVERSITY OF TEXAS AT SAN ANTONIO	德克萨斯大学圣安东尼奥分校
SWINBURNE UNIVERSITY OF TECHNOLOGY	史文朋科技大学
UNIVERSITY OF GEORGIA	佐治亚大学
UNIVERSITY OF REGINA	里贾纳大学
GEORGE WASHINGTON UNIVERSITY	乔治华盛顿大学
IEEE COMPUTER SOCIETY	IEEE 计算机学会
DALIAN MEDICAL UNIVERSITY	大连医科大学
PARIS DIDEROT UNIVERSITY	巴黎狄德罗大学
EISAI	卫材
NATIONAL INSTITUTE OF GENETICS	国立遗传学研究所
CURTIN UNIVERSITY	科廷大学
UNIVERSITY OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH JAPAN	日本职业与环境健康大学
UNIVERSITY OF MASSACHUSETTS AMHERST	马萨诸塞州大学阿默斯特分校
SINGAPORE SCIENCE PARK	新加坡科学园
SEAGATE TECHNOLOGY	希捷科技
CABOT CORPORATION	卡伯特公司
UNIVERSITY OF LONDON	伦敦大学
EWHA WOMANS UNIVERSITY	梨花女子大学
DUPONT PIONEER	杜邦先驱
VIRGINIA TECH	弗吉尼亚理工大学
APPLIED MATERIALS	应用材料
QUEEN'S UNIVERSITY	皇后大学
HUNAN NORMAL UNIVERSITY	湖南师范大学
HENRY FORD HOSPITAL	亨利·福特医院
KUNMING INSTITUTE OF ZOOLOGY	昆明动物学研究所
LEIDEN UNIVERSITY MEDICAL CENTER	莱顿大学医疗中心
PHILIPS	飞利浦
PENN STATE MILTON S. HERSHEY MEDICAL CENTER	宾夕法尼亚州立大学密尔顿·赫尔希医学中心
WESTINGHOUSE ELECTRIC	西屋电气
EUROPEAN BIOINFORMATICS INSTITUTE	欧洲生物信息学研究所
CARLETON COLLEGE	卡尔顿学院
CENTER FOR ECONOMIC STUDIES	经济研究中心
LEHIGH UNIVERSITY	理海大学
THE FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH	芬斯坦医学研究所
SCIENCE NORTH	科学北
KING ABDULAZIZ CITY FOR SCIENCE AND TECHNOLOGY	阿卜杜拉国王科技城
SINGAPORE MANAGEMENT UNIVERSITY	新加坡管理大学
SOUTHERN ILLINOIS UNIVERSITY CARBONDALE	南伊利诺伊大学卡本代尔分校
CHONGQING COMMUNICATION INSTITUTE	重庆交通学院
UNIVERSITY OF OTTAWA	渥太华大学
HUBEI UNIVERSITY OF CHINESE MEDICINE	湖北中医药大学
JEWISH GENERAL HOSPITAL	犹太总医院
FREE UNIVERSITY OF BERLIN	柏林自由大学
FACEBOOK	Facebook
MONTREAL NEUROLOGICAL INSTITUTE AND HOSPITAL	蒙特利尔神经研究所和医院
INSTITUT D'ASTROPHYSIQUE DE PARIS	巴黎天体物理学研究所
NATIONAL SCIENCE FOUNDATION	国家科学基金会
YEUNGNAM UNIVERSITY	岭南大学
UNIVERSITY OF TURKU	图尔库大学
JIANGXI UNIVERSITY OF FINANCE AND ECONOMICS	江西财经大学
LUDONG UNIVERSITY	鲁东大学
NATIONAL BUREAU OF ECONOMIC RESEARCH	国家经济研究局
TEXAS INSTRUMENTS	德州仪器
WUHAN INSTITUTE OF TECHNOLOGY	武汉理工学院
UNIVERSITY OF TEXAS MEDICAL BRANCH	德克萨斯大学医学分会
COLD SPRING HARBOR LABORATORY	冷泉港实验室
HUBEI UNIVERSITY OF TECHNOLOGY	湖北工业大学
HEFEI INSTITUTES OF PHYSICAL SCIENCE	合肥物理科学研究院
PUKYONG NATIONAL UNIVERSITY	釜庆国立大学
NANJING FORESTRY UNIVERSITY	南京林业大学
OREGON STATE UNIVERSITY	俄勒冈州立大学
HO CHI MINH CITY UNIVERSITY OF TECHNOLOGY	胡志明市理工大学
KYUSHU UNIVERSITY	九州大学
HUMAN GENOME SEQUENCING CENTER	人类基因组测序中心
UNIVERSITY OF AUCKLAND	奥克兰大学
BOISE STATE UNIVERSITY	博伊西州立大学
RADBOUD UNIVERSITY NIJMEGEN	拉德堡德大学
BAR-ILAN UNIVERSITY	巴伊兰大学
UNIVERSITY OF ALABAMA	阿拉巴马大学
ALBERT EINSTEIN COLLEGE OF MEDICINE	阿尔伯特·爱因斯坦医学院
UNIVERSITY OF SHANGHAI FOR SCIENCE AND TECHNOLOGY	上海理工大学
MERCEDES-BENZ	梅赛德斯-奔驰
MEDICAL UNIVERSITY OF SOUTH CAROLINA	南卡罗来纳州医科大学
EAST CAROLINA UNIVERSITY	东卡罗莱纳大学
COLUMBIA UNIVERSITY MEDICAL CENTER	哥伦比亚大学医疗中心
JINGDEZHEN CERAMIC INSTITUTE	景德镇陶瓷研究所
LUND UNIVERSITY	隆德大学
PASTEUR INSTITUTE	巴斯德研究所
HEBEI NORMAL UNIVERSITY	河北师范大学
BECKMAN RESEARCH INSTITUTE	贝克曼研究所
BAYER	拜耳
UNIVERSITY OF MONTANA	蒙大拿大学
NATIONAL INSTITUTE FOR MATERIALS SCIENCE	国立材料科学研究院
CHINA JILIANG UNIVERSITY	中国计量大学
NATIONAL MUSEUM OF NATURAL HISTORY	国立自然历史博物馆
NATIONAL HEALTH RESEARCH INSTITUTES	国家卫生研究机构
HERIOT-WATT UNIVERSITY	赫瑞瓦特大学
BAIDU	百度
LINGNAN UNIVERSITY	岭南大学
QINGDAO AGRICULTURAL UNIVERSITY	青岛农业大学
LEIBNIZ ASSOCIATION	莱布尼茨协会
UNIVERSITY OF DUISBURG-ESSEN	杜伊斯堡-埃森大学
SAM HOUSTON STATE UNIVERSITY	萨姆休斯顿州立大学
NATURAL RESOURCES CANADA	加拿大自然资源
WAGENINGEN UNIVERSITY AND RESEARCH CENTRE	瓦赫宁大学和研究中心
LA TROBE UNIVERSITY	乐卓博大学
MENTOR GRAPHICS	明导
QINGDAO TECHNOLOGICAL UNIVERSITY	青岛理工大学
TECHNICAL UNIVERSITY OF BERLIN	柏林技术大学
UNIVERSITY OF ARKANSAS AT LITTLE ROCK	阿肯色州小岩大学
AUSTRALIAN CENTRE FOR PLANT FUNCTIONAL GENOMICS	澳大利亚植物功能基因组学中心
JINGGANGSHAN UNIVERSITY	井冈山大学
NEW JERSEY INSTITUTE OF TECHNOLOGY	新泽西州理工学院
WRIGHT STATE UNIVERSITY	莱特州立大学
THE TURING INSTITUTE	图灵研究所
UNIVERSITY OF ANTWERP	安特卫普大学
ELECTRIC POWER RESEARCH INSTITUTE	电力研究院
UNIVERSITY OF RHODE ISLAND	罗德岛大学
ENGELHARD	安格
INTERNATIONAL WATER MANAGEMENT INSTITUTE	国际水管理研究所
CONCORDIA UNIVERSITY	协和大学
SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN	新加坡理工大学设计学院
UNIVERSITY OF ADELAIDE	阿德莱德大学
OLD DOMINION UNIVERSITY	欧道明大学
PHARMACIA	法玛西亚
UNIVERSITY OF IDAHO	爱达荷州大学
UNIVERSITY OF ELECTRO-COMMUNICATIONS	电子通信大学
UNIVERSITY OF SASKATCHEWAN	萨斯喀彻温省大学
GERMAN CANCER RESEARCH CENTER	德国癌症研究中心
NATIONAL CENTER FOR ATMOSPHERIC RESEARCH	国家大气研究中心
UNIVERSITY OF VALENCIA	瓦伦西亚大学
NATIONAL CHIAO TUNG UNIVERSITY	侨东大学
MICRON TECHNOLOGY	微米技术
KAIST	韩国科学技术院
CROPS RESEARCH INSTITUTE	农作物研究所
FUJIAN NORMAL UNIVERSITY	福建师范大学
SLAC NATIONAL ACCELERATOR LABORATORY	SLAC 国家加速器实验室
KING'S COLLEGE	国王学院
UNITED STATES NAVAL RESEARCH LABORATORY	美国海军研究实验室
LEIDEN UNIVERSITY	莱顿大学
UNIVERSITY HEALTH NETWORK	大学健康网络
SAITAMA UNIVERSITY	埼玉大学
YAHOO!	雅虎
GUANGZHOU UNIVERSITY	广州大学
CHINESE MINISTRY OF HEALTH	中国卫生部
INTERDIGITAL, INC.	国际数码公司
ARMAGH OBSERVATORY	阿马天文台
UNIVERSITY OF BARCELONA	巴塞罗那大学
BOHAI UNIVERSITY	渤海大学
ROSWELL PARK CANCER INSTITUTE	罗斯威尔公园癌症研究所
SHIHEZI UNIVERSITY	石河子大学
CLARK UNIVERSITY	克拉克大学
LONDON SOUTH BANK UNIVERSITY	伦敦南岸大学
NORWICH RESEARCH PARK	诺维奇研究园
NTT DOCOMO	NTT DOCOMO
SOUTH UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA	南方科技大学
KANAZAWA UNIVERSITY	金泽大学
ERASMUS UNIVERSITY ROTTERDAM	鹿特丹伊拉斯谟大学
CHINESE ACADEMY OF FISHERY SCIENCES	中国渔业科学院
UNIVERSITY OF FREIBURG	弗莱堡大学
UNIVERSITY OF DEFENCE	国防大学
LOUISIANA TECH UNIVERSITY	路易斯安那理工大学
CEDARS-SINAI MEDICAL CENTER	雪松-西奈医疗中心
WEIZMANN INSTITUTE OF SCIENCE	魏茨曼科学研究院
JACOBS UNIVERSITY BREMEN	雅各布斯大学不来梅分校
COMPLUTENSE UNIVERSITY OF MADRID	马德里康普鲁滕塞大学
STATE UNIVERSITY OF CAMPINAS	坎皮纳州立大学
TARUMANAGARA UNIVERSITY	鲁玛大学
KETTERING UNIVERSITY	凯特琳大学
CHINA THREE GORGES UNIVERSITY	中国三三峡大学
HIROSAKI UNIVERSITY	弘前大学
SHENYANG AGRICULTURAL UNIVERSITY	沈阳农业大学
BIOTECHNOLOGY INSTITUTE	生物技术研究所
ZHEJIANG A & F UNIVERSITY	浙江 A、F 大学
SHENYANG PHARMACEUTICAL UNIVERSITY	沈阳药科大学
UNIVERSITY OF WYOMING	怀俄明州大学
ENERGY RESEARCH INSTITUTE	能源研究所
UNIVERSITY OF HOUSTON SYSTEM	休斯顿大学系统
UNIVERSITY OF HAWAII AT MANOA	夏威夷大学马诺阿分校
ANHUI UNIVERSITY OF TECHNOLOGY	安徽工业大学
SHANGHAI NORMAL UNIVERSITY	上海师范大学
SINGAPORE NATIONAL EYE CENTER	新加坡国家眼科中心
JAPAN ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY	日本先进科技研究院
TRIMBLE NAVIGATION	谷歌导航
XINXIANG MEDICAL UNIVERSITY	新乡市医科大学
SANFORD-BURNHAM INSTITUTE FOR MEDICAL RESEARCH	桑福德医学研究所
UNIVERSITY OF JAMMU	查谟大学
TORONTO WESTERN HOSPITAL	多伦多西区医院
UNIVERSITY OF READING	雷丁大学
CHINESE ACADEMY OF SOCIAL SCIENCES	中国社会科学研究院
ENVIRONMENT CANADA	加拿大环境
AGRICULTURAL RESEARCH ORGANIZATION, VOLCANI CENTER	农业研究组织, 马亚沃卡尼中心
LIAONING UNIVERSITY	辽宁大学
UNIVERSITY OF KIEL	基尔大学
NATIONAL CENTRAL UNIVERSITY	国立中央大学
XIAOMI	小米
SHIZUOKA UNIVERSITY	静冈大学
BELL NORTHERN RESEARCH	贝尔北方研究
ZTE	中兴
YUNNAN NORMAL UNIVERSITY	云南师范大学
KOREA UNIVERSITY	韩国大学
ASCI CORPORATION	ASCI 公司
HANGZHOU NORMAL UNIVERSITY	杭州师范大学
DEMOCRATIC REPUBLIC OF THE CONGO MINISTRY OF HEALTH	刚果民主共和国卫生部
SHANXI MEDICAL UNIVERSITY	山西医科大学
LIAONING NORMAL UNIVERSITY	辽宁师范大学
UNIVERSITY OF G?TTINGEN	G 大学？TTINGEN
STEVENS INSTITUTE OF TECHNOLOGY	史蒂文斯理工学院
LUCIDEON	LUCIDEON
CURIE INSTITUTE	居里研究所
NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH	国家毒理学研究中心
HEILONGJIANG UNIVERSITY OF CHINESE MEDICINE	黑龙江中医药大学
JOHN RADCLIFFE HOSPITAL	约翰-拉德克利夫医院
SINGAPORE GENERAL HOSPITAL	新加坡总医院
INTERNATIONAL CENTER FOR AGRICULTURAL RESEARCH IN THE DRY AREAS	国际干旱地区农业研究中心
INNER MONGOLIA AGRICULTURAL UNIVERSITY	内蒙古农业大学
SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES	瑞典农业科学大学
ANHUI UNIVERSITY	安徽大学
MASSEY UNIVERSITY	梅西大学
UCB	UCB
UNIVERSITY OF MARBURG	马尔堡大学
ANSYS	Ansys
TEXAS TECH UNIVERSITY	德州理工大学
BINZHOU UNIVERSITY	滨州大学
LIAOCHENG UNIVERSITY	聊城大学
FREE UNIVERSITY OF BRUSSELS	布鲁塞尔自由大学
NATIONAL TAIWAN OCEAN UNIVERSITY	国立台湾海洋大学
DATA STORAGE INSTITUTE	数据存储研究所
UNITED STATES DEPARTMENT OF VETERANS AFFAIRS	美国退伍军人事务部
ROCHESTER INSTITUTE OF TECHNOLOGY	罗切斯特理工学院
CALIFORNIA STATE UNIVERSITY	加州州立大学
AGIOS PHARMACEUTICALS	阿基制药
PANASONIC	松下
AMES LABORATORY	艾姆斯实验室
CORNING INC.	康宁公司
YANBIAN UNIVERSITY	延边大学
UNIVERSITY OF BORDEAUX	波尔多大学
